"St. John's, Newfoundland and Labrador",219207,136.2
"Halifax, Nova Scotia",431701,150.6
"Moncton, New Brunswick",152169,150.6
"Saint John, New Brunswick",128541,136.2
"Québec, Quebec",812205,136.2
"Sherbrooke, Quebec",218633,136.2
"Trois-Rivières, Quebec",158942,136.2
"Montréal, Quebec",4138254,150.6
"Ottawa, Ontario",1377016,151.3
"Kingston, Ontario",173862,150.6
"Peterborough, Ontario",126291,151.3
"Oshawa, Ontario",402399,151.3
"Toronto, Ontario",6346088,136.2
"Hamilton, Ontario",787195,150.6
"Niagara, Ontario",416539,136.2
"Waterloo, Ontario",527765,150.6
"Brantford, Ontario",147489,136
"Guelph, Ontario",159988,150.6
"London, Ontario",521756,150.6
"Windsor, Ontario",344747,143.7
"Barrie, Ontario",209081,136
"Greater Sudbury, Ontario",165270,150.6
"Thunder Bay, Ontario",124164,136.2
"Winnipeg, Manitoba",825713,143.7
"Regina, Saskatchewan",253220,136.2
"Saskatoon, Saskatchewan",323809,136.2
"Calgary, Alberta",1488841,141
"Edmonton, Alberta",1411945,150.6
"Kelowna, British Columbia",202208,150.6
"Abbotsford, British Columbia",190714,129
"Vancouver, British Columbia",2571262,149.1
"Victoria, British Columbia",377414,190.4
